Id,Node A,Node B,Type,Section ID,Angle of Rotation (deg),Node A Fixity,Node B Fixity,Node A Offsets (mm),Node B Offsets (mm),Cable Length [Optional] (m),Tension/Compression Limit (kN),
1,1,2,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
2,3,4,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
3,5,6,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
4,7,8,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
5,9,10,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
6,11,12,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
7,13,14,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
8,15,16,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
9,2,26,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
10,4,6,continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
11,6,39,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
12,10,17,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
13,47,48,normal_continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
14,14,40,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
15,2,10,continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
16,8,16,continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
17,6,48,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
18,4,47,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
19,17,12,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
20,2,18,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
21,4,19,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
22,6,20,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
23,8,21,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
24,10,22,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
25,12,23,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
26,14,24,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
27,16,25,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
28,18,19,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
29,19,20,continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
30,20,21,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
31,22,23,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
32,46,45,normal_continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
33,24,25,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
34,18,22,continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
35,21,25,continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
36,20,24,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
37,19,23,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
38,26,4,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
39,18,27,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
40,19,28,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
41,20,29,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
42,21,30,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
43,22,31,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
44,23,32,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
45,24,33,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
46,25,34,continuous,1,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
47,27,37,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
48,28,29,continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
49,29,43,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
50,31,38,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
51,50,49,normal_continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
52,33,44,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
53,27,31,continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
54,30,34,continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
55,29,49,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
56,28,50,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
59,37,28,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
60,38,32,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
61,39,8,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
62,40,16,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
65,43,30,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
66,44,34,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
67,26,17,normal_continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
68,39,40,normal_continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
69,41,42,normal_continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
70,43,44,normal_continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
71,37,38,normal_continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
72,35,36,normal_continuous,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
75,47,12,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
76,48,14,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
77,49,33,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,
78,50,32,normal,2,0,FFFFFF,FFFFFF,"0,0,0","0,0,0",,0,

