Id,X Position (m),Y Position (m),Z Position (m),
1,0,-1.5,0,
2,0,0.6,0,
3,5,-1.5,0,
4,5,0.6,0,
5,7.4,-1.5,0,
6,7.4,0.6,0,
7,12.4,-1.5,0,
8,12.4,0.6,0,
9,0,-1.5,3,
10,0,0.6,3,
11,5,-1.5,3,
12,5,0.6,3,
13,7.4,-1.5,3,
14,7.4,0.6,3,
15,12.4,-1.5,3,
16,12.4,0.6,3,
17,2,0.6,3,
18,0,3.8,0,
19,5,3.8,0,
20,7.4,3.8,0,
21,12.4,3.8,0,
22,0,3.8,3,
23,5,3.8,3,
24,7.4,3.8,3,
25,12.4,3.8,3,
26,2,0.6,0,
27,0,6.8,0,
28,5,6.8,0,
29,7.4,6.8,0,
30,12.4,6.8,0,
31,0,6.8,3,
32,5,6.8,3,
33,7.4,6.8,3,
34,12.4,6.8,3,
35,2,3.8,0,
36,2,3.8,3,
37,2,6.8,0,
38,2,6.8,3,
39,10.4,0.6,0,
40,10.4,0.6,3,
41,10.4,3.8,0,
42,10.4,3.8,3,
43,10.4,6.8,0,
44,10.4,6.8,3,
45,7.4,3.8,2.4,
46,5,3.8,2.4,
47,5,0.6,2.4,
48,7.4,0.6,2.4,
49,7.4,6.8,2.4,
50,5,6.8,2.4,
51,1.6,3.8,0,
52,1.2,3.8,0,
53,0.8,3.8,0,
54,0.4,3.8,0,
55,2,3.8,0.6,
56,1.6,3.8,0.6,
57,1.2,3.8,0.6,
58,0.8,3.8,0.6,
59,0.4,3.8,0.6,
60,0,3.8,0.6,
61,2,3.8,1.2,
62,1.6,3.8,1.2,
63,1.2,3.8,1.2,
64,0.8,3.8,1.2,
65,0.4,3.8,1.2,
66,0,3.8,1.2,
67,2,3.8,1.8,
68,1.6,3.8,1.8,
69,1.2,3.8,1.8,
70,0.8,3.8,1.8,
71,0.4,3.8,1.8,
72,0,3.8,1.8,
73,2,3.8,2.4,
74,1.6,3.8,2.4,
75,1.2,3.8,2.4,
76,0.8,3.8,2.4,
77,0.4,3.8,2.4,
78,0,3.8,2.4,
79,1.6,3.8,3,
80,1.2,3.8,3,
81,0.8,3.8,3,
82,0.4,3.8,3,
83,5,3.8,1.8,
84,5,3.8,1.2,
85,5,3.8,0.6,
86,4.4,3.8,3,
87,4.4,3.8,2.4,
88,4.4,3.8,1.8,
89,4.4,3.8,1.2,
90,4.4,3.8,0.6,
91,4.4,3.8,0,
92,3.8,3.8,3,
93,3.8,3.8,2.4,
94,3.8,3.8,1.8,
95,3.8,3.8,1.2,
96,3.8,3.8,0.6,
97,3.8,3.8,0,
98,3.2,3.8,3,
99,3.2,3.8,2.4,
100,3.2,3.8,1.8,
101,3.2,3.8,1.2,
102,3.2,3.8,0.6,
103,3.2,3.8,0,
104,2.6,3.8,3,
105,2.6,3.8,2.4,
106,2.6,3.8,1.8,
107,2.6,3.8,1.2,
108,2.6,3.8,0.6,
109,2.6,3.8,0,
110,6.8,3.8,2.4,
111,6.8,3.8,1.8,
112,6.8,3.8,1.2,
113,6.8,3.8,0.6,
114,6.8,3.8,0,
115,6.2,3.8,2.4,
116,6.2,3.8,1.8,
117,6.2,3.8,1.2,
118,6.2,3.8,0.6,
119,6.2,3.8,0,
120,5.6,3.8,2.4,
121,5.6,3.8,1.8,
122,5.6,3.8,1.2,
123,5.6,3.8,0.6,
124,5.6,3.8,0,
142,10.4,3.8,2.4,
143,10.4,3.8,1.8,
144,10.4,3.8,1.2,
145,10.4,3.8,0.6,
146,9.8,3.8,3,
147,9.8,3.8,2.4,
148,9.8,3.8,1.8,
149,9.8,3.8,1.2,
150,9.8,3.8,0.6,
151,9.8,3.8,0,
152,9.2,3.8,3,
153,9.2,3.8,2.4,
154,9.2,3.8,1.8,
155,9.2,3.8,1.2,
156,9.2,3.8,0.6,
157,9.2,3.8,0,
158,8.6,3.8,3,
159,8.6,3.8,2.4,
160,8.6,3.8,1.8,
161,8.6,3.8,1.2,
162,8.6,3.8,0.6,
163,8.6,3.8,0,
164,8,3.8,3,
165,8,3.8,2.4,
166,8,3.8,1.8,
167,8,3.8,1.2,
168,8,3.8,0.6,
169,8,3.8,0,
170,7.4,3.8,1.8,
171,7.4,3.8,1.2,
172,7.4,3.8,0.6,
173,12.4,3.8,2.4,
174,12.4,3.8,1.8,
175,12.4,3.8,1.2,
176,12.4,3.8,0.6,
177,12,3.8,3,
178,12,3.8,2.4,
179,12,3.8,1.8,
180,12,3.8,1.2,
181,12,3.8,0.6,
182,12,3.8,0,
183,11.6,3.8,3,
184,11.6,3.8,2.4,
185,11.6,3.8,1.8,
186,11.6,3.8,1.2,
187,11.6,3.8,0.6,
188,11.6,3.8,0,
189,11.2,3.8,3,
190,11.2,3.8,2.4,
191,11.2,3.8,1.8,
192,11.2,3.8,1.2,
193,11.2,3.8,0.6,
194,11.2,3.8,0,
195,10.8,3.8,3,
196,10.8,3.8,2.4,
197,10.8,3.8,1.8,
198,10.8,3.8,1.2,
199,10.8,3.8,0.6,
200,10.8,3.8,0,

